,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
qda,Quadratic Discriminant Analysis,0.975,0.0,0.975,0.98,0.9746,0.9625,0.9653,0.004
lightgbm,Light Gradient Boosting Machine,0.975,0.9854,0.975,0.98,0.9746,0.9625,0.9653,0.143
lda,Linear Discriminant Analysis,0.9667,0.0,0.9667,0.9733,0.9661,0.95,0.9537,0.004
lr,Logistic Regression,0.9583,0.0,0.9583,0.9689,0.9568,0.9375,0.9436,0.406
nb,Naive Bayes,0.9583,0.9958,0.9583,0.9689,0.9568,0.9375,0.9436,0.004
dt,Decision Tree Classifier,0.9583,0.9688,0.9583,0.9667,0.9577,0.9375,0.9421,0.005
knn,K Neighbors Classifier,0.95,0.9943,0.95,0.9589,0.9486,0.925,0.9302,0.011
svm,SVM - Linear Kernel,0.95,0.0,0.95,0.96,0.9492,0.925,0.9306,0.006
rf,Random Forest Classifier,0.95,0.9979,0.95,0.9622,0.9484,0.925,0.932,0.024
gbc,Gradient Boosting Classifier,0.95,0.0,0.95,0.9622,0.9484,0.925,0.932,0.021
et,Extra Trees Classifier,0.95,0.9969,0.95,0.9622,0.9484,0.925,0.932,0.02
ada,Ada Boost Classifier,0.9417,0.0,0.9417,0.9556,0.9399,0.9125,0.9205,0.01
ridge,Ridge Classifier,0.85,0.0,0.85,0.8535,0.8333,0.775,0.799,0.005
dummy,Dummy Classifier,0.3333,0.5,0.3333,0.1111,0.1667,0.0,0.0,0.004
